averageFitness,bestFitness,
30485,25730,
29110,24636,
28192,24072,
27609,24072,
26788,23552,
26319,23139,
25955,22873,
25766,22507,
25403,22109,
25048,20409,
24955,20409,
24092,20409,
23614,20088,
23181,19977,
22626,19757,
22049,19620,
21297,18689,
20489,18457,
19961,17523,
19380,17523,
18818,17236,
18368,16743,
17973,16420,
17437,16390,
17188,15950,
16868,15935,
16590,15856,
16390,15754,
16289,15628,
16093,15390,
15936,15123,
15788,14822,
15680,14774,
15525,14774,
15391,14455,
15189,14244,
15078,14136,
14973,14073,
14654,14048,
14550,13971,
14355,13946,
14260,13919,
14218,13823,
14140,13714,
14066,13679,
13907,13679,
13906,13679,
13825,13561,
13753,13561,
13697,13561,
13718,13561,
13785,13503,
13732,13503,
13860,13452,
13895,13424,
13757,13350,
13735,12923,
13580,12769,
13446,12769,
13316,12458,
13222,12343,
12853,12343,
12780,12343,
12675,12274,
12524,12233,
12485,12217,
12402,11862,
12367,11717,
12375,11717,
12360,11701,
12169,11701,
11972,11701,
11835,11701,
11772,11701,
11748,11473,
11777,11473,
11893,11473,
11754,11473,
11577,11473,
11593,11351,
11573,11351,
11596,11351,
11578,11351,
11495,11351,
11415,11351,
11398,11351,
11424,11291,
11488,11291,
11549,11291,
11781,11291,
12148,11291,
11941,11238,
11740,11238,
11367,11207,
11405,11207,
11364,11207,
11357,11188,
11337,11188,
11232,11188,
11278,11148,
11324,11148,
11330,11148,
11402,11148,
11481,11148,
11591,11148,
11395,11148,
11230,11147,
11245,11147,
11232,11147,
11259,10967,
11292,10967,
11354,10967,
11334,10967,
11291,10947,
11144,10947,
11039,10947,
11033,10947,
11033,10941,
11053,10941,
11011,10941,
11007,10941,
11023,10941,
11058,10941,
11070,10941,
11077,10941,
11036,10941,
10987,10941,
11007,10941,
11055,10941,
10988,10788,
10993,10788,
11036,10788,
10958,10788,
10897,10788,
10878,10788,
10838,10788,
10876,10765,
10835,10765,
10926,10765,
10883,10765,
10997,10765,
11029,10765,
11007,10765,
10842,10765,
10911,10765,
10876,10746,
10848,10746,
10842,10689,
10832,10670,
10820,10664,
10788,10648,
10947,10648,
10909,10642,
11205,10642,
10909,10642,
10763,10642,
10863,10642,
10838,10642,
10838,10642,
10990,10642,
10973,10642,
10751,10642,
10721,10642,
10730,10628,
10711,10628,
10778,10628,
10856,10628,
11040,10628,
10946,10628,
10870,10549,
10715,10549,
10710,10549,
10804,10509,
10855,10509,
10695,10479,
10634,10479,
10716,10479,
10730,10276,
10620,10276,
10627,10276,
10568,10139,
10432,10039,
10512,9821,
10626,9821,
10605,9821,
10156,9821,
9890,9821,
9920,9821,
9953,9821,
9906,9821,
9937,9821,
9847,9821,
9925,9821,
9951,9718,
9959,9718,
9873,9718,
9872,9718,
9882,9718,
9821,9718,
9799,9718,
9762,9718,
9835,9718,
9771,9718,
9820,9718,
9790,9718,
9812,9653,
9814,9653,
9813,9653,
9791,9653,
9737,9597,
9744,9597,
9749,9597,
9762,9597,
9693,9597,
9715,9597,
9663,9597,
9678,9529,
9755,9529,
9671,9529,
9658,9529,
9628,9529,
9620,9529,
9632,9529,
9635,9529,
9628,9529,
9633,9529,
9665,9529,
9604,9529,
9615,9529,
9635,9415,
9621,9415,
9574,9415,
9516,9415,
9497,9415,
9540,9415,
9474,9415,
9482,9415,
9558,9415,
9503,9415,
9504,9415,
9507,9415,
9542,9415,
9501,9415,
9480,9415,
9487,9415,
9479,9415,
9473,9415,
9567,9415,
9477,9415,
9485,9273,
9525,9273,
9504,9273,
9398,9273,
9363,9273,
9349,9273,
9392,9273,
9406,9273,
9356,9273,
9329,9234,
9361,9234,
9373,9234,
9335,9234,
9292,9234,
9342,9234,
9335,9234,
9342,9234,
9308,9203,
9306,9203,
9365,9203,
9331,9203,
9320,9203,
9287,9203,
9275,9203,
9273,9203,
9292,9203,
9288,9203,
9240,9203,
9335,9203,
9314,9203,
9288,9203,
9269,9203,
9288,9203,
9289,9203,
9287,9203,
9344,9203,
9263,9020,
9319,9020,
9246,9020,
9195,9020,
9162,9020,
9062,9020,
9128,9020,
9111,9020,
9117,9020,
9135,9020,
9111,9020,
9086,9015,
9102,9015,
9083,9015,
9131,9015,
9150,9001,
9065,9001,
9189,9001,
9217,9001,
9096,9001,
9040,9001,
9095,8946,
9035,8946,
9070,8946,
9112,8946,
9104,8946,
9031,8946,
9032,8946,
9037,8946,
9054,8946,
9014,8946,
9044,8946,
9068,8946,
9017,8946,
9112,8946,
9092,8946,
9011,8946,
9038,8946,
9010,8946,
9056,8946,
9047,8946,
9019,8946,
9035,8946,
9025,8946,
9044,8946,
9029,8946,
9039,8946,
9035,8946,
9008,8946,
9071,8946,
9060,8946,
9036,8946,
9033,8946,
9023,8946,
9013,8946,
9084,8946,
9029,8946,
9047,8946,
9036,8946,
9041,8946,
9032,8946,
9051,8946,
9001,8946,
9038,8946,
8985,8946,
9011,8946,
9062,8938,
9002,8938,
9022,8938,
9086,8938,
9021,8938,
9023,8938,
9043,8938,
9025,8938,
9047,8938,
9041,8938,
9015,8938,
9072,8938,
9045,8938,
9027,8938,
9100,8938,
9071,8938,
9042,8938,
9022,8938,
9039,8938,
9085,8938,
8984,8938,
9008,8938,
9038,8938,
9030,8938,
9095,8938,
9069,8938,
9062,8938,
9065,8938,
9026,8938,
9023,8938,
9004,8938,
9023,8938,
9035,8938,
9028,8938,
9079,8938,
9067,8938,
9048,8938,
9018,8938,
9017,8938,
9026,8938,
9063,8938,
9066,8938,
9020,8938,
9022,8938,
9047,8938,
9063,8938,
9014,8938,
8979,8938,
9043,8938,
9029,8938,
9066,8938,
9039,8938,
9022,8938,
9048,8938,
9016,8938,
9000,8938,
9015,8938,
9008,8938,
9009,8938,
9017,8938,
8994,8938,
9048,8938,
9023,8938,
8993,8938,
9005,8938,
9018,8938,
9024,8938,
9064,8938,
9021,8938,
9014,8938,
9026,8938,
9036,8938,
9046,8938,
9030,8938,
9027,8938,
9015,8938,
9043,8938,
9165,8938,
9082,8938,
9029,8938,
9061,8938,
9031,8938,
8990,8938,
9044,8938,
8995,8938,
9009,8938,
9038,8938,
9073,8938,
9051,8938,
8990,8938,
9003,8938,
9056,8938,
9016,8938,
9041,8938,
9056,8938,
9017,8938,
8995,8938,
9047,8938,
9026,8938,
9025,8938,
9060,8938,
9028,8938,
9068,8938,
9054,8938,
9028,8938,
9067,8938,
9030,8938,
8999,8938,
9038,8938,
9058,8938,
9049,8938,
9025,8938,
9001,8938,
9038,8938,
9008,8938,
9046,8938,
9111,8938,
9057,8938,
9013,8938,
9048,8938,
9004,8938,
9019,8938,
9035,8938,
9056,8938,
9047,8938,
9091,8938,
9031,8938,
9057,8938,
9036,8938,
9097,8938,
8962,8938,
9040,8938,
9101,8938,
8999,8938,
9025,8938,
9052,8938,
9008,8938,
8981,8938,
9040,8938,
9057,8938,
9064,8938,
9060,8938,
9020,8938,
9048,8938,
9003,8938,
9032,8938,
8999,8938,
9070,8938,
9041,8938,
9059,8938,
8995,8938,
9049,8938,
8995,8938,
9010,8938,
9043,8938,
9004,8938,
9060,8938,
8969,8938,
8983,8938,
9011,8938,
9073,8938,
8997,8938,
9022,8938,
8990,8938,
9020,8938,
9029,8938,
9013,8938,
9008,8938,
9035,8938,
9037,8938,
9033,8938,
9008,8938,
9053,8938,
9058,8938,
9037,8938,
9027,8938,
9013,8938,
8997,8938,
8995,8938,
9049,8938,
9032,8938,
9031,8938,
9046,8938,
9029,8938,
9044,8938,
8963,8938,
9034,8938,
9036,8938,
8977,8938,
9013,8938,
9027,8938,
9069,8938,
8990,8938,
8972,8938,
9066,8938,
9009,8938,
9042,8938,
9000,8938,
9061,8938,
9063,8938,
9041,8938,
9023,8938,
9066,8938,
9052,8938,
9031,8925,
9072,8925,
9061,8925,
9152,8925,
9052,8925,
8994,8925,
9033,8925,
9033,8925,
9015,8925,
9057,8925,
9015,8925,
9058,8925,
9073,8925,
9006,8925,
9056,8925,
9012,8925,
9041,8925,
9031,8925,
9011,8925,
9042,8925,
9051,8925,
9070,8925,
8993,8925,
9031,8925,
9030,8925,
9005,8925,
9010,8925,
8990,8925,
9012,8925,
8986,8925,
9059,8925,
9068,8925,
9078,8925,
9028,8925,
9034,8925,
9004,8925,
9026,8925,
9035,8925,
8989,8925,
9084,8925,
9014,8925,
9030,8925,
9009,8925,
9058,8903,
9007,8903,
9038,8903,
9083,8903,
9046,8903,
8996,8903,
8998,8903,
9015,8903,
9010,8903,
8965,8903,
9003,8903,
8998,8903,
8981,8903,
8971,8903,
8963,8903,
9019,8903,
9054,8903,
8978,8903,
8978,8903,
9021,8903,
8967,8903,
9021,8903,
9025,8903,
8979,8903,
8999,8903,
8984,8903,
8986,8903,
9042,8903,
8988,8903,
9025,8903,
8991,8903,
8991,8903,
8988,8903,
9048,8903,
9013,8903,
8959,8903,
9050,8903,
9002,8903,
9010,8903,
8967,8846,
8987,8846,
8963,8846,
9005,8846,
8957,8846,
8931,8846,
8918,8846,
8969,8846,
8951,8846,
8926,8846,
8936,8846,
9003,8846,
8928,8846,
8942,8846,
8928,8846,
8901,8846,
8954,8846,
8951,8846,
8904,8846,
8887,8846,
8963,8846,
9003,8846,
8933,8846,
8931,8846,
8992,8846,
8953,8846,
8964,8846,
8942,8846,
8913,8846,
8942,8846,
8884,8846,
8948,8846,
8990,8846,
8912,8846,
8953,8846,
8928,8846,
8951,8846,
8923,8846,
8957,8846,
8906,8846,
8976,8846,
8963,8846,
8930,8846,
8888,8846,
8956,8846,
8902,8846,
8948,8846,
8945,8846,
8943,8846,
8900,8846,
8965,8846,
8935,8846,
8901,8846,
8961,8846,
8931,8846,
8934,8846,
8935,8846,
8940,8846,
8926,8846,
8979,8846,
8908,8846,
8955,8846,
8924,8846,
8918,8846,
8941,8846,
8925,8846,
8927,8846,
8953,8846,
8951,8846,
8952,8846,
8938,8846,
8941,8846,
8896,8846,
8902,8846,
8928,8846,
8955,8846,
8878,8846,
8898,8846,
8952,8846,
8914,8846,
8961,8846,
8945,8846,
8941,8846,
8896,8846,
8979,8846,
8962,8846,
8935,8846,
8937,8846,
8902,8846,
8959,8846,
8897,8846,
8935,8846,
8920,8846,
8927,8846,
8912,8846,
8925,8846,
9006,8846,
8949,8846,
8964,8846,
8925,8846,
8965,8846,
8940,8846,
8942,8846,
8941,8846,
8909,8846,
8933,8846,
8980,8846,
8930,8846,
8965,8846,
8929,8846,
8925,8846,
8955,8846,
8955,8846,
8947,8846,
8904,8846,
8898,8846,
8929,8846,
8934,8846,
8937,8846,
8941,8846,
8923,8846,
8932,8846,
8952,8846,
8940,8846,
8971,8846,
8924,8846,
8965,8846,
8955,8846,
8931,8846,
8954,8846,
8898,8846,
8929,8846,
8959,8846,
8940,8846,
8934,8846,
8933,8846,
8952,8846,
8954,8846,
8896,8846,
8948,8846,
8922,8846,
8931,8846,
8909,8846,
8934,8846,
8967,8846,
8922,8846,
8942,8846,
8924,8846,
8915,8798,
8905,8798,
8928,8798,
8964,8798,
8854,8798,
8901,8798,
8879,8798,
8968,8798,
8878,8798,
8884,8798,
8898,8798,
8870,8798,
8877,8798,
8849,8798,
8882,8798,
8890,8798,
8861,8798,
8938,8798,
8874,8798,
8879,8798,
8872,8798,
8918,8798,
8895,8798,
8879,8798,
8915,8798,
8885,8798,
8867,8798,
8903,8798,
8931,8798,
8903,8798,
8869,8798,
8835,8798,
8858,8798,
8857,8798,
8941,8798,
8876,8798,
8873,8798,
8924,8798,
8861,8798,
8909,8798,
8927,8798,
8871,8798,
8885,8798,
8847,8798,
8887,8798,
8883,8798,
8871,8798,
8865,8798,
8845,8798,
8905,8798,
8868,8798,
8899,8798,
8906,8798,
8892,8798,
8921,8798,
8900,8798,
8930,8798,
8897,8798,
8898,8798,
8914,8798,
8895,8798,
8902,8798,
8925,8798,
8902,8798,
8932,8798,
8901,8798,
8916,8798,
8880,8798,
8916,8798,
8889,8798,
8889,8798,
8902,8798,
8902,8798,
8923,8798,
8909,8798,
8874,8798,
8906,8798,
8902,8798,
8882,8798,
8868,8798,
8902,8798,
8869,8798,
8905,8798,
8919,8798,
8881,8798,
8904,8798,
8874,8798,
8910,8798,
8921,8798,
8933,8798,
8895,8798,
8896,8798,
8922,8798,
8885,8798,
8937,8798,
8869,8798,
8927,8798,
8883,8798,
8876,8798,
8898,8798,
8862,8798,
8924,8798,
8901,8798,
8932,8798,
8880,8798,
8867,8798,
8905,8798,
8887,8798,
8868,8798,
8892,8798,
8959,8798,
8860,8798,
8848,8798,
8849,8798,
8938,8798,
8874,8798,
8897,8798,
8919,8798,
8898,8798,
8863,8798,
8902,8798,
8918,8798,
8898,8798,
8900,8798,
8898,8798,
8856,8798,
8842,8798,
8922,8798,
8913,8798,
8868,8798,
8850,8798,
8908,8798,
8931,8798,
8929,8798,
8949,8798,
8932,8798,
8903,8798,
8899,8798,
8881,8798,
8922,8798,
8860,8798,
8856,8798,
8895,8798,
8887,8798,
8893,8798,
8872,8798,
8866,8798,
8894,8798,
8874,8798,
8893,8798,
8892,8798,
8860,8798,
8902,8798,
8896,8798,
8903,8798,
8915,8798,
8864,8798,
8947,8798,
8944,8798,
8882,8798,
8904,8798,
8898,8798,
8892,8798,
8874,8798,
8858,8798,
8872,8798,
8926,8798,
8927,8798,
8842,8798,
8904,8798,
8905,8798,
8882,8798,
8945,8798,
8843,8798,
8872,8798,
8891,8798,
8925,8798,
8870,8798,
8909,8798,
8932,8798,
8903,8798,
8881,8798,
8891,8798,
8901,8798,
8878,8798,
8903,8798,
8901,8798,
8945,8798,
8888,8798,
8888,8798,
8839,8798,
8896,8798,
8865,8798,
8830,8798,
8884,8798,
8907,8798,
8885,8798,
8925,8798,
8888,8798,
8957,8798,
8863,8798,
8877,8798,
8914,8798,
8894,8798,
8863,8798,
8858,8798,
