averageFitness,bestFitness,
30550,25749,
29198,23560,
28328,23560,
27754,23560,
26961,23560,
26584,23560,
25998,22811,
25358,22110,
24785,22086,
23764,20733,
22703,20423,
22089,19688,
21794,19688,
21517,19318,
21183,18638,
20908,18606,
20331,18452,
19723,17904,
19297,17725,
18778,17325,
18399,17151,
18152,16913,
17804,16672,
17401,16261,
17303,15852,
17095,15852,
17033,15492,
16865,15244,
16668,14780,
16029,14294,
15605,13918,
15178,13918,
14605,13910,
14276,13786,
14019,13761,
13918,13649,
13871,13649,
13849,13603,
13799,13585,
13690,13563,
13707,13174,
13696,13174,
13695,13002,
13803,13002,
13557,12868,
13235,12860,
13130,12828,
13049,12788,
13032,12097,
13121,12097,
12914,11976,
13042,11976,
12540,11830,
12284,11830,
12145,11775,
12157,11742,
12085,11742,
11867,11742,
11848,11742,
11823,11742,
11813,11742,
11840,11583,
11818,11583,
11817,11583,
11869,11531,
11947,11494,
12340,11471,
12413,11471,
12197,11425,
11735,11278,
11631,11187,
11458,11162,
11376,11150,
11340,11073,
11311,11073,
11263,11073,
11174,11001,
11212,11001,
11228,11001,
11230,11001,
11244,11001,
11367,10967,
11209,10967,
11061,10967,
11072,10933,
11064,10933,
11107,10933,
11117,10852,
11232,10776,
11237,10776,
11103,10662,
11166,10662,
11047,10662,
10978,10662,
10992,10609,
10835,10524,
10726,10438,
10749,10438,
10718,10438,
10776,10294,
10675,10294,
10522,10294,
10491,10294,
10394,10294,
10376,10294,
10399,10283,
10365,10283,
10403,10283,
10416,10283,
10633,10172,
10579,10172,
10760,10160,
10677,9924,
10650,9912,
10573,9912,
10543,9912,
10233,9815,
10058,9815,
9984,9815,
9972,9815,
10032,9815,
10030,9815,
10056,9815,
10048,9815,
10062,9815,
10196,9815,
10210,9815,
10084,9815,
10075,9815,
10175,9815,
10203,9815,
10248,9815,
10153,9815,
10036,9815,
9959,9815,
9918,9815,
9945,9815,
9918,9811,
9927,9793,
9858,9769,
10019,9769,
9937,9769,
9902,9769,
9828,9769,
9871,9769,
9837,9769,
9879,9769,
9851,9769,
9888,9769,
9839,9769,
9891,9769,
9864,9690,
9908,9690,
9851,9690,
9870,9690,
9941,9690,
9787,9690,
9765,9657,
9840,9657,
9827,9657,
9764,9657,
9728,9657,
9723,9630,
9782,9630,
9787,9630,
9787,9630,
9748,9630,
9816,9630,
9744,9630,
9767,9630,
9752,9630,
9770,9630,
9775,9630,
9707,9630,
9777,9630,
9737,9523,
9806,9502,
9768,9502,
9662,9368,
9647,9368,
9652,9368,
9717,9368,
9577,9368,
9472,9368,
9456,9349,
9477,9349,
9451,9322,
9500,9322,
9562,9322,
9573,9322,
9687,9322,
9702,9322,
9664,9322,
9552,9322,
9478,9322,
9429,9322,
9377,9322,
9434,9322,
9386,9322,
9408,9322,
9398,9322,
9413,9205,
9428,9205,
9401,9205,
9408,9205,
9392,9205,
9373,9205,
9365,9205,
9321,9205,
9343,9205,
9373,9205,
9429,9205,
9327,9205,
9299,9205,
9319,9205,
9362,9205,
9333,9205,
9302,9205,
9356,9205,
9332,9205,
9357,9205,
9363,9205,
9344,9205,
9383,9205,
9349,9205,
9351,9205,
9341,9205,
9338,9205,
9330,9205,
9327,9205,
9334,9205,
9328,9205,
9345,9157,
9357,9157,
9307,9157,
9316,9157,
9312,9157,
9255,9137,
9317,9137,
9274,9137,
9261,9137,
9237,9137,
9267,9137,
9230,9137,
9274,9137,
9269,9137,
9250,9137,
9256,9137,
9243,9137,
9270,9137,
9294,9137,
9277,9137,
9273,9137,
9292,9137,
9265,9137,
9245,9137,
9263,9137,
9247,9137,
9302,9137,
9235,9137,
9253,9137,
9260,9137,
9207,9137,
9273,9137,
9275,9137,
9233,9137,
9277,8858,
9315,8858,
9275,8858,
9248,8858,
9227,8858,
9308,8858,
9251,8858,
9296,8858,
9268,8858,
9288,8858,
9305,8858,
9222,8858,
9246,8858,
9246,8858,
9370,8858,
9268,8858,
9230,8858,
9219,8858,
9243,8858,
9249,8858,
9232,8858,
9275,8858,
9321,8858,
9244,8858,
9206,8858,
9255,8858,
9237,8858,
9235,8858,
9239,8858,
9213,8858,
9248,8858,
9229,8858,
9222,8858,
9251,8858,
9232,8858,
9288,8858,
9307,8858,
9324,8858,
9330,8858,
9358,8858,
9371,8858,
9351,8858,
9196,8858,
9049,8858,
8960,8858,
8973,8858,
8981,8858,
8978,8858,
8976,8858,
8946,8858,
8965,8858,
8973,8858,
8968,8858,
8953,8858,
8994,8858,
8964,8858,
8914,8858,
9012,8858,
8947,8847,
8961,8847,
8933,8847,
8957,8847,
8939,8847,
8908,8847,
8963,8847,
8990,8847,
8906,8847,
8921,8847,
8944,8847,
8967,8847,
8900,8847,
9003,8847,
8935,8847,
8907,8847,
8943,8847,
8935,8847,
8950,8847,
8893,8847,
8935,8847,
8934,8847,
8944,8847,
8975,8847,
8986,8845,
8912,8845,
8925,8845,
8930,8845,
8996,8845,
8940,8845,
8958,8845,
8911,8845,
8958,8845,
8911,8845,
8956,8845,
8920,8845,
8948,8845,
8972,8845,
8977,8845,
8929,8845,
8925,8845,
8949,8845,
8932,8845,
8921,8845,
8950,8845,
8918,8845,
8918,8845,
8981,8845,
8958,8845,
8930,8800,
8945,8800,
8908,8800,
8897,8800,
8893,8800,
8903,8800,
8854,8800,
8903,8800,
8904,8800,
8889,8800,
8853,8800,
8895,8800,
8902,8800,
8893,8800,
8853,8800,
8948,8800,
8918,8800,
8882,8800,
8853,8800,
8925,8800,
8896,8800,
8910,8800,
8846,8800,
8961,8800,
8902,8800,
8892,8800,
8921,8800,
8900,8800,
8889,8800,
8848,8800,
8908,8800,
8899,8800,
8859,8800,
8928,8800,
8885,8800,
8910,8800,
8896,8800,
8868,8800,
8915,8800,
8906,8800,
8873,8800,
8888,8800,
8891,8800,
8933,8800,
8884,8800,
8878,8800,
8877,8800,
8863,8800,
8889,8800,
8884,8800,
8894,8800,
8905,8800,
8894,8800,
8896,8800,
8906,8800,
8923,8800,
8865,8800,
8886,8800,
8891,8800,
8901,8800,
8860,8800,
8914,8800,
8943,8800,
8894,8800,
8897,8800,
8899,8800,
8928,8800,
8954,8800,
8885,8800,
8900,8800,
8926,8800,
8909,8800,
8915,8800,
8912,8800,
8849,8800,
8900,8800,
8880,8800,
8850,8800,
8880,8800,
8905,8800,
8937,8800,
8912,8800,
8867,8800,
8891,8800,
8835,8800,
8901,8800,
8929,8800,
8872,8800,
8890,8800,
8944,8800,
8916,8800,
8884,8800,
8868,8800,
8889,8800,
8904,8800,
8948,8800,
8904,8800,
