averageFitness,bestFitness,
30447,26220,
28996,25761,
28423,25224,
27720,24708,
27205,23521,
26890,23385,
26474,22921,
25816,21859,
25357,21291,
24971,20929,
24596,20929,
23778,20051,
23336,20051,
22698,19916,
22305,19916,
22251,18744,
21732,18744,
21473,18744,
21264,18142,
21072,17956,
20537,17528,
19940,17327,
19743,16539,
19288,16118,
18403,16118,
17479,15890,
16909,15545,
16476,15231,
16206,14985,
15897,14674,
15773,14674,
15323,14674,
15207,14643,
15260,14471,
15146,14238,
15112,13864,
14807,13804,
14251,13747,
13927,13747,
13853,13737,
13832,13229,
13854,13149,
13855,13018,
14096,13010,
13817,12988,
13560,12962,
13203,12962,
13150,12822,
13305,12698,
13291,12648,
13165,12648,
12987,12648,
12881,12270,
12768,12270,
12861,12270,
12924,12178,
13039,12085,
12732,12085,
12762,12022,
12539,12022,
12241,12022,
12282,11964,
12362,11964,
12173,11859,
12181,11693,
12235,11693,
12169,11693,
12024,11693,
11782,11513,
11829,11465,
11950,11465,
11944,11465,
11848,11338,
11799,11338,
11750,11338,
11578,11338,
11436,11308,
11439,11305,
11383,11305,
11386,11120,
11387,11114,
11370,11114,
11273,10968,
11223,10968,
11150,10968,
11115,10968,
11041,10968,
11079,10968,
11021,10968,
11014,10878,
11041,10878,
11020,10878,
11024,10878,
10935,10878,
10974,10859,
10977,10700,
11040,10700,
11120,10697,
11031,10697,
10985,10524,
10774,10524,
10754,10524,
10850,10524,
10781,10524,
10720,10524,
10600,10524,
10647,10524,
10609,10400,
10649,10400,
10626,10400,
10580,10400,
10632,10400,
10578,10400,
10503,10400,
10471,10400,
10451,10260,
10455,10260,
10429,10260,
10373,10242,
10340,10242,
10322,10228,
10337,10228,
10339,10225,
10374,10225,
10300,10225,
10286,10225,
10320,10225,
10280,10225,
10290,10225,
10331,10225,
10351,10214,
10297,10214,
10272,10214,
10294,10214,
10287,10214,
10269,10214,
10308,10214,
10289,10214,
10315,10214,
10351,10214,
10323,10193,
10329,10193,
10306,10193,
10525,10176,
10400,10176,
10285,10176,
10464,10163,
10425,10163,
10319,10163,
10360,10163,
10413,10163,
10415,10163,
10516,10163,
10388,10163,
10246,9877,
10311,9877,
10263,9877,
10181,9877,
10071,9877,
9946,9877,
9945,9877,
9942,9877,
9966,9877,
9970,9837,
9973,9837,
9917,9837,
9949,9837,
9962,9837,
9939,9837,
9937,9837,
9919,9837,
9936,9837,
9964,9822,
9959,9822,
9929,9822,
9893,9822,
9948,9822,
9905,9822,
9922,9759,
9948,9759,
9893,9759,
9931,9759,
9917,9759,
9866,9759,
9852,9759,
9848,9759,
9842,9686,
9862,9686,
9828,9686,
9853,9686,
9775,9686,
9821,9686,
9796,9686,
9740,9686,
9764,9686,
9830,9686,
9769,9686,
9779,9686,
9803,9686,
9810,9686,
9762,9686,
9764,9686,
9765,9686,
9826,9686,
9733,9686,
9754,9686,
9786,9686,
9751,9686,
9769,9686,
9773,9686,
9812,9686,
9775,9617,
9753,9617,
9809,9617,
9747,9614,
9774,9614,
9686,9614,
9679,9614,
9675,9614,
9705,9612,
9695,9612,
9694,9612,
9655,9612,
9648,9612,
9719,9612,
9700,9612,
9687,9612,
9707,9612,
9674,9612,
9712,9612,
9710,9612,
9677,9612,
9655,9612,
9727,9612,
9683,9612,
9700,9612,
9709,9612,
9716,9612,
9696,9612,
9751,9612,
9702,9612,
9684,9612,
9686,9612,
9732,9591,
9678,9591,
9674,9591,
9676,9591,
9695,9591,
9650,9567,
9651,9567,
9675,9567,
9642,9567,
9651,9567,
9621,9567,
9652,9567,
9696,9567,
9661,9567,
9666,9567,
9662,9567,
9649,9567,
9665,9567,
9656,9567,
9637,9567,
9680,9567,
9664,9567,
9616,9567,
9651,9567,
